aX,aY,aZ,gX,gY,gZ
-0.02470000,-0.00380000,0.06450000,-0.01477000,-0.02975000,-0.01344000
-0.00390000,-0.02000000,0.08670000,-0.01477000,-0.02975000,-0.01344000
0.00210000,-0.02060000,0.09980000,-0.00483000,-0.00693000,-0.01085000
-0.00940000,-0.00410000,0.07740000,0.00273000,0.01834000,0.00063000
-0.01880000,-0.00130000,0.11650000,0.01701000,0.00133000,0.00049000
-0.01070000,-0.00560000,0.10130000,0.00924000,-0.00994000,-0.00574000
-0.00520000,-0.00690000,0.11290000,0.00035000,-0.02310000,-0.00245000
-0.00600000,-0.00530000,0.10460000,-0.00924000,-0.02107000,0.00651000
-0.00780000,-0.00770000,0.10250000,-0.01232000,-0.02730000,0.00700000
-0.00780000,-0.00770000,0.10250000,-0.01232000,-0.02730000,0.00700000
-0.00500000,-0.00750000,0.10140000,-0.00637000,-0.02380000,0.00343000
-0.00690000,-0.00750000,0.10390000,0.00448000,-0.01603000,0.00308000
-0.00910000,-0.00450000,0.10670000,0.00756000,-0.01603000,0.00259000
-0.00260000,-0.01000000,0.09230000,0.00392000,-0.01470000,0.00063000
0.00380000,-0.00600000,0.09750000,-0.00147000,-0.01127000,-0.00084000
0.00380000,-0.00600000,0.09750000,-0.00147000,-0.01127000,-0.00084000
0.00190000,-0.00620000,0.09520000,-0.00308000,-0.00252000,0.00077000
-0.00410000,-0.00560000,0.09790000,0.00070000,0.00021000,0.00140000
-0.00410000,-0.00560000,0.09790000,0.00392000,0.00378000,0.00287000
-0.00840000,-0.00480000,0.10270000,0.00392000,0.00378000,0.00287000
