aX,aY,aZ,gX,gY,gZ
0.00490000,-0.00070000,0.10190000,-0.00406000,-0.00553000,0.00105000
0.00460000,-0.00030000,0.10190000,-0.00420000,-0.00630000,0.00126000
0.00460000,-0.00030000,0.10190000,-0.00420000,-0.00630000,0.00126000
0.00430000,-0.00030000,0.09970000,-0.00175000,-0.00518000,0.00077000
0.00450000,0.00000000,0.09960000,0.00147000,-0.00329000,0.00042000
0.00450000,0.00110000,0.10020000,0.00308000,-0.00259000,0.00056000
0.00440000,0.00080000,0.09990000,0.00329000,-0.00154000,0.00014000
0.00370000,0.00080000,0.10090000,0.00021000,-0.00119000,0.00098000
0.00340000,0.00090000,0.10200000,0.00196000,-0.00028000,0.00098000
0.00340000,0.00090000,0.10300000,0.00133000,-0.00196000,0.00049000
0.00340000,0.00090000,0.10300000,0.00133000,-0.00196000,0.00049000
0.00460000,0.00000000,0.10170000,0.00014000,-0.00273000,-0.00014000
0.00490000,0.00060000,0.10130000,-0.00056000,-0.00343000,0.00070000
0.00490000,0.00060000,0.10130000,-0.00056000,-0.00343000,0.00070000
0.00400000,0.00030000,0.10140000,0.00028000,-0.00266000,0.00098000
0.00260000,0.00100000,0.10230000,0.00140000,-0.00238000,0.00140000
0.00310000,0.00160000,0.10140000,0.00126000,-0.00273000,0.00112000
0.00450000,0.00210000,0.10020000,-0.00028000,-0.00308000,0.00063000
0.00510000,0.00180000,0.10030000,-0.00105000,-0.00266000,0.00021000
0.00510000,0.00180000,0.10030000,-0.00105000,-0.00266000,0.00021000
0.00430000,0.00040000,0.10100000,-0.00056000,-0.00217000,-0.00021000
0.00380000,0.00060000,0.09910000,0.00168000,-0.00147000,-0.00007000
0.00520000,0.00120000,0.09910000,0.00679000,0.00077000,-0.00021000
0.00510000,0.00150000,0.09870000,0.01001000,0.00252000,0.00056000
0.00450000,0.00310000,0.09720000,0.01092000,0.00294000,0.00196000
0.00450000,0.00310000,0.09720000,0.01092000,0.00294000,0.00196000
0.00410000,0.00320000,0.10470000,0.01155000,0.00371000,0.00280000
0.00240000,0.00380000,0.10330000,0.00728000,0.00357000,0.00434000
0.00490000,0.00670000,0.09830000,0.00301000,0.00238000,0.00434000
0.00930000,0.01220000,0.09100000,0.00623000,0.00784000,0.00294000
0.00590000,0.01010000,0.09750000,0.01995000,0.01603000,-0.00084000
0.00590000,0.01010000,0.09750000,0.03122000,0.00084000,-0.01274000
-0.01440000,-0.01620000,0.13610000,0.03122000,0.00084000,-0.01274000
-0.00400000,-0.01540000,0.09290000,0.03367000,0.00266000,-0.01666000
0.00820000,0.01170000,0.08910000,0.03360000,0.02065000,0.00742000
-0.00060000,0.01480000,0.12550000,0.01099000,0.00490000,0.01197000
-0.00840000,0.00350000,0.10430000,-0.03563000,-0.01295000,0.00546000
-0.00840000,0.00350000,0.10430000,-0.07077000,-0.03514000,0.01043000
-0.00420000,-0.00120000,0.11390000,-0.07077000,-0.03514000,0.01043000
0.00160000,0.00290000,0.09350000,-0.07980000,-0.05089000,0.01393000
0.00620000,-0.00080000,0.09560000,-0.04662000,-0.04305000,0.00567000
0.00760000,-0.00470000,0.08350000,-0.00952000,-0.01722000,-0.00098000
0.01270000,0.00120000,0.10060000,0.01491000,0.00035000,0.00301000
0.01270000,0.00120000,0.10060000,0.02331000,0.00784000,0.00455000
0.00480000,-0.00160000,0.09490000,0.02331000,0.00784000,0.00455000
0.00210000,0.00680000,0.09920000,0.01659000,-0.00273000,0.00882000
0.00700000,0.00620000,0.09950000,0.01449000,-0.00427000,0.00385000
0.00650000,0.00150000,0.10540000,0.01337000,0.00028000,0.00133000
0.00650000,0.00150000,0.10540000,0.01337000,0.00028000,0.00133000
0.00280000,0.00230000,0.10640000,-0.00399000,-0.00546000,0.00574000
0.00300000,0.00380000,0.09920000,-0.00399000,-0.00546000,0.00574000
0.00580000,0.00290000,0.09870000,-0.00434000,-0.00364000,0.00245000
